Name,Longitude,Latitude
E01004907,-2.38283,53.536921
E01004908,-2.364976,53.534672
E01004909,-2.377421,53.538058
E01004910,-2.370924,53.547595
E01004911,-2.374337,53.564346
E01004912,-2.380162,53.561394
E01004913,-2.367454,53.564
E01004914,-2.359796,53.56104
E01004915,-2.374054,53.557561
E01004916,-2.365936,53.558885
E01004917,-2.392864,53.569246
E01004918,-2.371916,53.5683
E01004919,-2.467529,53.589972
E01004920,-2.47438,53.590364
E01004921,-2.460262,53.589945
E01004922,-2.456998,53.587514
E01004923,-2.457472,53.582316
E01004924,-2.45909,53.598463
E01004925,-2.453853,53.592597
E01004926,-2.408765,53.59145
E01004927,-2.414246,53.587571
E01004928,-2.409109,53.588055
E01004929,-2.411912,53.594251
E01004930,-2.404452,53.585898
E01004931,-2.406179,53.582544
E01004932,-2.405831,53.580018
E01004933,-2.524436,53.533046
E01004934,-2.532626,53.535482
E01004935,-2.52005,53.53632
E01004936,-2.525344,53.551158
E01004937,-2.535804,53.5397
E01004938,-2.524035,53.543912
E01004939,-2.530858,53.543473
E01004940,-2.52413,53.538818
E01004941,-2.273696,53.549107
E01004942,-2.287179,53.548288
E01004943,-2.284558,53.544504
E01004944,-2.279099,53.547679
E01004945,-2.279154,53.555573
E01004946,-2.274239,53.553522
E01004947,-2.316619,53.592358
E01004948,-2.318507,53.589258
E01004949,-2.331643,53.591125
E01004950,-2.338625,53.593591
E01004951,-2.326431,53.586453
E01004952,-2.334663,53.586646
E01004953,-2.32194,53.593225
E01004954,-2.25836,53.601378
E01004955,-2.266092,53.599563
E01004956,-2.283405,53.60303
E01004957,-2.272398,53.595872
E01004958,-2.280904,53.596628
E01004959,-2.279288,53.594108
E01004960,-2.274376,53.602167
E01004961,-2.306496,53.601674
E01004962,-2.318059,53.600372
E01004963,-2.324111,53.599404
E01004964,-2.312556,53.598115
E01004965,-2.315355,53.613552
E01004966,-2.317562,53.609235
E01004967,-2.307079,53.606716
E01004968,-2.320048,53.604991
E01004969,-2.249952,53.548899
E01004970,-2.271175,53.542559
E01004971,-2.27858,53.541606
E01004972,-2.275532,53.5389
E01004973,-2.270901,53.535762
E01004974,-2.277621,53.534924
E01004975,-2.271022,53.532053
E01004976,-2.295593,53.610103
E01004977,-2.291106,53.610579
E01004978,-2.293088,53.605326
E01004979,-2.292126,53.601379
E01004980,-2.288901,53.60178
E01004981,-2.295238,53.621153
E01004982,-2.292658,53.618179
E01004983,-2.29086,53.540866
E01004984,-2.306489,53.543382
E01004985,-2.312097,53.542237
E01004986,-2.292591,53.545168
E01004987,-2.291128,53.556638
E01004988,-2.290154,53.552957
E01004989,-2.300348,53.550749
E01004990,-2.345131,53.562924
E01004991,-2.314229,53.570824
E01004992,-2.312975,53.567946
E01004993,-2.305179,53.568589
E01004994,-2.318855,53.564205
E01004995,-2.348277,53.56168
E01004996,-2.336885,53.563591
E01004997,-2.332426,53.566265
E01004998,-2.341441,53.57291
E01004999,-2.335037,53.57251
E01005000,-2.358614,53.570884
E01005001,-2.364712,53.569951
E01005002,-2.348937,53.569303
E01005003,-2.337619,53.569307
E01005004,-2.345578,53.567701
E01005005,-2.35972,53.58683
E01005006,-2.349066,53.586622
E01005007,-2.296712,53.557772
E01005008,-2.330473,53.561286
E01005009,-2.322267,53.559516
E01005010,-2.332698,53.54943
E01005011,-2.30386,53.554328
E01005012,-2.314986,53.552399
E01005013,-2.322532,53.553101
E01005014,-2.317897,53.649829
E01005015,-2.307629,53.650286
E01005016,-2.321721,53.646611
E01005017,-2.318432,53.640857
E01005018,-2.325772,53.642378
E01005019,-2.329835,53.633345
E01005020,-2.317528,53.637032
E01005021,-2.332643,53.637835
E01005022,-2.313381,53.631468
E01005023,-2.325938,53.626863
E01005024,-2.288378,53.590257
E01005025,-2.302189,53.581615
