Name,masterpc,Latitude,Longitude
S00127496,PA5 9RT,55.824441,-4.5028336
S00102946,G76 8NR,55.792364,-4.268992
S00124360,G71 6BJ,55.834962,-4.0901847
S00101351,G66 2UL,55.946492,-4.1211113
S00134027,EH54 6AW,55.895823,-3.5129764
S00092908,AB43 9UA,57.692524,-2.0199138
S00090495,AB16 6QA,57.15672,-2.1722313
S00119812,PA15 2HS,55.937438,-4.726338
S00125900,ML6 8LH,55.837231,-3.9419128
S00111431,KY15 7HX,56.261719,-3.1730014
S00099040,DD4 7BA,56.476698,-2.9540899
S00129095,ZE2 9DW,60.694519,-0.92295261
S00114028,G32 9HZ,55.84503,-4.1406907
S00129077,ZE2 9XS,60.393013,-1.3481607
S00116809,G13 2XA,55.891093,-4.3314171
S00121179,IV32 7QF,57.54842,-3.163849
S00117242,G40 2QP,55.850486,-4.2282203
S00113147,G20 6RX,55.878794,-4.2740332
S00108206,FK2 0AH,55.973076,-3.6977748
S00099690,DD4 0XR,56.491195,-2.9212088
S00106351,EH17 7HJ,55.91369,-3.1339587
S00126571,PH1 2TF,56.40626,-3.4553205
S00094112,PA48 7UG,55.742984,-6.3785208
S00099852,KA3 6HJ,55.618579,-4.4532583
S00105766,EH14 1XB,55.927135,-3.2523855
S00092551,AB41 8AL,57.371047,-2.0605392
S00091355,AB39 3XB,56.946186,-2.2671205
S00090128,AB22 8WF,57.188981,-2.1247486
S00119356,IV19 1NE,57.779823,-4.0705876
S00126502,PH1 1BQ,56.392429,-3.4547927
S00114111,G33 1PL,55.892249,-4.1871923
S00109786,KY5 9AF,56.125584,-3.3116424
S00108676,FK4 1UE,55.991958,-3.9536581
S00099340,DD5 2QR,56.474253,-2.8490299
S00098590,DD2 2AY,56.4616,-3.002461
S00108380,FK6 5NT,56.006364,-3.9094587
S00099092,DD4 7GA,56.471543,-2.9143533
S00128947,ZE2 9JD,59.911976,-1.326533
S00115669,G53 5QT,55.833399,-4.3584006
S00107437,EH14 1PD,55.93087,-3.2376042
S00106636,EH16 4TF,55.928306,-3.1575288
S00115934,G14 0HY,55.883466,-4.3679773
S00107854,FK1 5NB,55.988008,-3.7937673
S00104688,EH8 9EU,55.943169,-3.1838783
S00115407,G51 4JR,55.864097,-4.3331872
S00130429,G73 4QW,55.815621,-4.2263543
S00134932,EH48 1LR,55.900299,-3.6120126
S00112201,G3 6JR,55.871803,-4.2666229
S00135031,EH54 6UR,55.899364,-3.5354419
S00102468,EH21 6BQ,55.944196,-3.0655525
S00094295,PA23 8LD,55.972357,-4.9133241
S00112281,G4 9EZ,55.87292,-4.2786932
S00112178,G1 3BU,55.860642,-4.2513984
S00095959,FK10 2XB,56.12866,-3.8396513
S00103765,EH4 4JZ,55.974724,-3.2425137
S00106469,EH30 9PQ,55.981581,-3.3936156
S00106342,EH17 7SF,55.917951,-3.1367552
S00125293,ML5 1HZ,55.854811,-4.0438615
S00110426,KY8 1DS,56.174135,-3.0348684
S00122076,KA12 9DN,55.626524,-4.6659968
S00129441,KA7 4UB,55.43286,-4.6155487
S00133442,FK7 0PN,56.095111,-3.9356656
S00092786,AB52 6GD,57.344464,-2.6197878
S00090170,AB21 9BR,57.17541,-2.1815801
S00104127,EH6 4JG,55.979614,-3.1876681
S00129035,ZE1 0SF,60.145793,-1.1751579
S00118203,PH41 4QL,57.00967,-5.820318
S00094268,PA23 7ED,55.948196,-4.9310363
S00113019,G14 0NF,55.888434,-4.381122
S00107725,FK2 8AT,56.030729,-3.7838724
S00106659,EH4 1DF,55.958638,-3.2229852
S00126373,PH3 1AS,56.293368,-3.7059411
S00114899,G43 2SE,55.817252,-4.2984078
S00116465,G22 5NE,55.883761,-4.2639622
S00108378,FK6 5NS,56.008291,-3.9115267
S00103324,EH1 2EL,55.947094,-3.2026051
S00099215,DD4 9ER,56.486899,-2.939406
S00121472,IV30 6HX,57.64367,-3.2869478
S00115393,G51 4NN,55.859131,-4.3348549
S00116204,G42 9PU,55.825545,-4.2676031
S00121129,AB54 7NX,57.550147,-2.7407575
S00132148,ML3 0LS,55.785252,-4.0583505
S00120256,PA15 4ET,55.94216,-4.7645327
S00123644,ML4 2LX,55.812532,-4.0119427
S00109664,KY3 0BP,56.061662,-3.2340507
S00111535,KY11 4NX,56.075182,-3.4151639
S00110914,KY10 2AT,56.205511,-2.764336
S00125146,G71 5SE,55.834533,-4.0724838
S00100914,G61 1LA,55.908681,-4.3428413
S00115026,G44 4PS,55.825593,-4.2458918
S00134843,EH54 6TX,55.894612,-3.5424826
S00132051,ML3 9TL,55.772045,-4.079991
S00113316,G20 0JW,55.895992,-4.2926504
S00112828,G13 3LG,55.89663,-4.3606377
S00092776,AB51 0EN,57.336518,-2.3206809
S00092675,AB31 5EF,57.081371,-2.3458432
S00089860,AB16 5UJ,57.158048,-2.145738
S00090313,AB13 0JB,57.108654,-2.2323985
S00106007,EH15 1PU,55.944982,-3.1207187
S00131326,G74 2BX,55.762851,-4.1463217
S00102467,EH21 6AP,55.944199,-3.0620301
S00127694,PA1 2JJ,55.841013,-4.4248785
S00129279,KA19 7HD,55.355588,-4.6779623
S00103070,G77 5BJ,55.771615,-4.3307657
S00131782,G72 9DS,55.798322,-4.0954161
S00126708,PH2 8LZ,56.393651,-3.4331955
S00112611,G12 9QU,55.877873,-4.308513
S00093431,DD8 2RA,56.630893,-2.7689394
S00133913,EH54 5LX,55.899351,-3.4918738
S00091632,AB32 6WE,57.157509,-2.2822319
S00089517,AB24 3UA,57.167866,-2.0995599
S00124114,ML1 3BE,55.782445,-4.0079991
S00132132,ML3 9ET,55.76812,-4.0914834
S00113879,G32 7ST,55.845048,-4.1653551
S00106479,EH30 9XB,55.986744,-3.4121874
S00120839,EH22 5AR,55.881063,-3.0416183
S00094022,PA24 8AA,56.172191,-4.9029928
S00113651,G23 5LU,55.900831,-4.287113
S00116407,G11 7PE,55.874557,-4.3175724
S00127080,FK15 9QH,56.265227,-3.8824043
S00096045,FK13 6HB,56.154891,-3.7397433
S00104620,EH8 7RD,55.950329,-3.1304656
S00110713,KY7 4RF,56.181847,-3.1667775
S00122039,KA12 8HF,55.608654,-4.6635291
S00104142,EH6 4AD,55.975142,-3.1798874
S00120974,EH25 9PS,55.862639,-3.1537693
S00105797,EH14 1PR,55.931251,-3.2390569
S00108016,FK3 8QZ,56.003047,-3.7254707
S00099648,DD3 9QS,56.496758,-3.0078392
S00114256,G33 5QP,55.872028,-4.1560992
S00134931,EH48 1SJ,55.899584,-3.609008
S00123570,ML4 1HW,55.822326,-4.0219309
S00110890,KY8 5LG,56.213275,-3.0518043
S00123082,KA11 2EE,55.636095,-4.6214543
S00109073,KY10 2RU,56.249545,-2.7555628
S00096365,G83 0TX,55.998628,-4.5937195
S00124832,G67 2EY,55.952498,-3.9722198
S00119967,PA16 7UG,55.957061,-4.7721969
S00115137,G45 9QF,55.79937,-4.2506678
S00096179,FK10 1DU,56.116191,-3.7966405
S00117854,PH35 4HB,57.068475,-4.8009732
S00098721,DD2 4QR,56.474205,-3.0363647
S00119883,PA15 4UW,55.940089,-4.7433567
S00098996,DD4 6TH,56.473122,-2.9575552
S00119449,IV2 3PW,57.481528,-4.2066461
S00115802,G61 1HR,55.899749,-4.3228023
S00108047,FK3 9ES,56.011403,-3.7087919
S00106002,EH15 1QS,55.943511,-3.1253675
S00110693,KY7 4SB,56.178766,-3.1647187
S00111502,KY15 5QS,56.308505,-3.0358164
S00096749,G81 2SR,55.901525,-4.3859558
S00097663,DG7 1JZ,54.943201,-3.9214393
S00098173,DG11 3PW,55.052994,-3.2097791
S00097216,DG1 4RA,55.000933,-3.572769
S00111480,DD6 8SL,56.400995,-3.0161786
S00119096,IV15 9RF,57.603312,-4.4379517
S00103989,EH5 2LH,55.972854,-3.2354194
S00108096,FK2 9JA,55.993408,-3.7475842
S00098804,DD3 7PR,56.473646,-2.9653442
S00118174,PH33 7LS,56.843542,-5.1173907
S00118492,IV3 8NZ,57.473364,-4.2636949
S00115508,G52 2LA,55.851851,-4.3588635
S00134098,EH54 8HL,55.906558,-3.526336
S00090092,AB22 8PH,57.183045,-2.1029589
S00100873,KA2 0LT,55.598463,-4.521057
S00099990,KA18 1AE,55.45569,-4.2728807
S00093125,DD5 4QQ,56.4784,-2.8430343
S00093387,DD11 4AG,56.57327,-2.5781746
S00115161,G45 9JU,55.801528,-4.2318523
S00095931,FK10 3SR,56.118639,-3.7796716
S00105904,EH14 5AJ,55.893562,-3.3281724
S00118754,IV10 8TQ,57.583819,-4.1295286
S00117161,G32 9TE,55.846203,-4.1630233
S00121250,AB38 7BB,57.523213,-3.2068433
S00095482,EH45 9AE,55.646388,-3.1840911
S00124686,ML7 5QQ,55.85797,-3.7529216
S00095228,TD7 5DL,55.549217,-2.8478345
S00110561,KY8 5TD,56.205055,-2.9974649
S00100479,KA4 8LY,55.600108,-4.3706181
S00093086,DD11 4SJ,56.633026,-2.6737989
S00099773,DD1 2JE,56.465013,-2.9652225
S00106567,EH10 7HA,55.901145,-3.2196716
S00095037,ML12 6FW,55.612297,-3.4091743
S00124484,ML2 8JS,55.773479,-3.9096912
S00111432,KY9 1BD,56.190771,-2.8266115
S00123035,KA24 5DB,55.709911,-4.7285938
S00110474,KY8 3EN,56.183937,-3.0110946
S00117898,IV6 7TZ,57.516883,-4.4612201
